raw_hand_source_stamp,raw_hand_frame,raw_hand_valid,raw_hand_x,raw_hand_y,raw_hand_z,raw_hand_qx,raw_hand_qy,raw_hand_qz,raw_hand_qw,confidence_x,confidence_y,confidence_z,confidence_roll,confidence_pitch,confidence_yaw,gesture,gesture_confidence,invalid_reason,source_index,intent_label,primary_axis,cue_stage_index,cue_sweep_subphase,cue_direction_sign,m2_candidate_state,m2_candidate_translation_energy,m2_candidate_rotation_energy,m2_candidate_translation_rotation_ratio,m2_candidate_rotation_translation_ratio,m2_candidate_window_full,m2_candidate_reference_required
3.837185383,camera_color_optical_frame,1,-0.008930341643,0.050262140630,0.988000046927,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.990243902,0.990243902,0.990243902,0.854720438,0.854720438,0.854720438,0,0.0,,85,ROTATION,RY,,,,POSITION,0.147349966489,0.158256823381,0.931081285096,1.074020083969,1,0
4.004338741,camera_color_optical_frame,1,-0.007308373242,0.048293559376,0.983000046690,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.934740883,0.934740883,0.934740883,0.851589229,0.851589229,0.851589229,0,0.0,,90,ROTATION,RY,,,,POSITION,0.183664683901,0.109660515105,1.674847904243,0.597069141303,1,0
4.171501875,camera_color_optical_frame,1,-0.008957627482,0.050262140630,0.989000046975,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.854127442,0.854127442,0.854127442,0,0.0,,95,ROTATION,RY,,,,POSITION,0.201732906650,0.087162971817,2.314433554124,0.432071164116,1,0
4.338296413,camera_color_optical_frame,1,-0.008957627482,0.050160600951,0.989000046975,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.991428571,0.991428571,0.991428571,0.854905400,0.854905400,0.854905400,0,0.0,,100,ROTATION,RY,,,,POSITION,0.172176376365,0.105901407028,1.625817646783,0.615075129722,1,0
4.504996061,camera_color_optical_frame,1,-0.008957627482,0.050160600951,0.994000047212,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.854559228,0.854559228,0.854559228,0,0.0,,105,ROTATION,RY,,,,POSITION,0.164445331704,0.103247223463,1.592733694796,0.627851349706,1,0
4.671691895,camera_color_optical_frame,1,-0.008957627482,0.048391800093,0.993000047165,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.854606911,0.854606911,0.854606911,0,0.0,,110,ROTATION,RY,,,,POSITION,0.107961047134,0.104418510067,1.033926332260,0.967186896009,1,0
4.838383913,camera_color_optical_frame,1,-0.009021294441,0.048686522241,0.996000047307,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.856190536,0.856190536,0.856190536,0,0.0,,115,ROTATION,RY,,,,POSITION,0.123643963730,0.076296181905,1.620578653381,0.617063539566,1,0
5.005072117,camera_color_optical_frame,1,-0.008975818042,0.047202546645,0.993000047165,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.853845125,0.853845125,0.853845125,0,0.0,,120,ROTATION,RY,,,,POSITION,0.098840931950,0.081235317843,1.216723644026,0.821879319030,1,0
5.171756268,camera_color_optical_frame,1,-0.008994008601,0.048686522241,0.991000047070,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.853864189,0.853864189,0.853864189,0,0.0,,125,ROTATION,RY,,,,POSITION,0.102951800079,0.084108087686,1.224041622053,0.816965683179,1,0
5.338456154,camera_color_optical_frame,1,-0.008975818042,0.050414450147,0.993000047165,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.944756554,0.944756554,0.944756554,0.854602444,0.854602444,0.854602444,0,0.0,,130,ROTATION,RY,,,,POSITION,0.098778203051,0.098030222198,1.007630104642,0.992427673005,1,0
5.505156040,camera_color_optical_frame,1,-0.009712631102,0.048146198302,0.986000046832,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,0.993377483,0.993377483,0.993377483,0.854239325,0.854239325,0.854239325,0,0.0,,135,ROTATION,RY,,,,POSITION,0.164774325124,0.099480570545,1.656346804424,0.603738297637,1,0
5.671852350,camera_color_optical_frame,1,-0.010405616537,0.048097077944,0.983000046690,0.545480200115,-0.601969558320,0.299313967913,0.500494905819,1.000000000,1.000000000,1.000000000,0.854353730,0.854353730,0.854353730,0,0.0,,140,ROTATION,RY,,,,POSITION,0.168708711309,0.090825814052,1.857497376389,0.538358768476,1,0
